本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2485.3,585.1,5.3,20686272,16900230289,2527.0071,85760935759
2483.3,584.5,5.24,23264650,16708906927,2516.2506,101360622819
2478.1,581.2,5.28,26393438,16836455835,2536.2675,103504982750
2467.3,575.7,5.23,28032311,16677019700,2549.5634,93713175030
2423.3,576.3,5.2,28634918,16581358019,2576.6495,99306536449
2413.3,571.8,5.24,30585969,16708906927,2597.9737,102960848538
2397.3,568.7,5.13,30852235,16358147431,2593.7407,123724985208
2391,568.1,5.28,34647531,16836455835,2634.0491,132396107017
2345.5,563.9,5.23,42930857,16677019700,2602.1526,88998195762
2343.6,564.1,5.11,23739264,16294372977,2594.0881,85404123352
2359.7,564.8,5.05,24431147,16103049615,2584.5822,99148142973
2343.9,563.3,5.06,22618375,16134936842,2605.8876,97727662644
2340.2,565,5.03,33019200,16039275161,2605.1813,129092979688
2334.5,563.6,5.17,50613592,16485696338,2649.8051,133730209026
2330.3,563.6,5.13,56000130,16358147431,2665.9577,144143399996
2326,558.9,4.99,50505275,15911726253,2654.798,187831789136
2323.2,559.9,4.88,27297475,15560966757,2588.1875,112219827151
2330.9,561.9,4.81,31230366,15337756168,2567.4434,129472448038
2364.2,564.4,4.9,40726355,15624741210,2601.7365,119578491709
2390.9,566.8,4.9,24846985,15624741210,2574.6792,102226561357
2443.2,582.3,4.87,48570629,15529079530,2575.8101,108158092986
2507.5,594.1,5.08,55610788,16198711296,2579.4831,149975643908
2518.8,608.7,5.33,30268133,16995891970,2645.4339,125570173768
2550.1,608.7,5.41,48884432,17250989785,2651.5053,149375782375
2557.1,613.3,5.43,44675380,17314764239,2645.8545,180870411783
2580.5,612.3,5.52,38262226,17601749282,2703.5116,196562706695
2582,610,5.53,48481301,17633636509,2679.1097,204983603876
2583,610.3,5.57,51070137,17761185417,2668.1704,171882491636
2586.9,609.8,5.59,93896962,17824959871,2632.2425,176970430721
2588.9,610.5,5.45,96182962,17378538693,2654.8795,189607223526
2610.7,611.7,5.4,115455269,17219102558,2630.5195,142351428441
2616.5,610.6,5.48,30528933,15272191242,2598.8715,121260494142
2616.7,607.5,5.52,48783712,15383667090,2635.6322,128668816737
2618.9,609.5,5.56,53325794,15495142939,2641.342,147261808711
2618.9,609.5,5.71,47464829,15913177371,2659.3564,138800936379
2619.9,607.7,5.82,59071328,16219735954,2665.4306,168588913433
2619.2,610.5,5.96,68521322,16609901424,2676.4762,207861568971
2619.2,613.2,5.86,69653853,16331211802,2606.2372,180253805583
2618.1,611.2,5.96,78907546,16609901424,2602.7832,154894735274
2614.5,613.1,5.91,48472348,16470556613,2568.0481,152385934983
2608.1,612.4,5.94,36954862,16554163499,2542.1033,122500040547
